"Date","Time","Action","Protocol","SrcIP","DstIP","SrcPort","DstPort","Direction","Size","ProcessName","ProcessId","RuleName","EventAppName","ComputerName"
"2026-03-03","15:48:35","ALLOW","TCP","10.0.1.4","169.254.169.254","49714","80","SEND","0",,"0","Windows Remote Management - Compatibility Mode (HTTP-In)","program files\microsoft rdinfra\rdagentbootloader_1.0.11388.1600\rdagentbootloader.exe","avdmmrtst-1"
"2026-03-03","15:48:35","ALLOW","TCP","10.0.1.4","169.254.169.254","49715","80","SEND","0",,"0","Windows Remote Management - Compatibility Mode (HTTP-In)","program files\microsoft rdinfra\rdagentbootloader_1.0.11388.1600\rdagentbootloader.exe","avdmmrtst-1"
"2026-03-03","15:48:35","ALLOW","TCP","10.0.1.4","169.254.169.254","49717","80","SEND","0",,"0","Windows Remote Management - Compatibility Mode (HTTP-In)","program files\microsoft rdinfra\rdagentbootloader_1.0.11388.1600\rdagentbootloader.exe","avdmmrtst-1"
"2026-03-03","15:48:35","ALLOW","TCP","10.0.1.4","169.254.169.254","49718","80","SEND","0",,"0","Windows Remote Management - Compatibility Mode (HTTP-In)","program files\microsoft rdinfra\rdagentbootloader_1.0.11388.1600\rdagentbootloader.exe","avdmmrtst-1"
"2026-03-03","15:48:35","ALLOW","TCP","10.0.1.4","169.254.169.254","49719","80","SEND","0",,"0","Windows Remote Management - Compatibility Mode (HTTP-In)","program files\microsoft rdinfra\rdagentbootloader_1.0.11388.1600\rdagentbootloader.exe","avdmmrtst-1"
"2026-03-03","15:48:35","ALLOW","TCP","10.0.1.4","169.254.169.254","49720","80","SEND","0",,"0","Windows Remote Management - Compatibility Mode (HTTP-In)","program files\microsoft rdinfra\rdagentbootloader_1.0.11388.1600\rdagentbootloader.exe","avdmmrtst-1"
"2026-03-03","15:48:35","ALLOW","TCP","10.0.1.4","52.179.200.141","49721","443","SEND","0",,"0","Secure Socket Tunneling Protocol (SSTP-In)","program files\microsoft rdinfra\rdmonitoringagent_46.24.3\agent\monagentcore.exe","avdmmrtst-1"
"2026-03-03","15:48:35","ALLOW","TCP","10.0.1.4","20.189.173.18","49716","443","SEND","0","Unknown","0","Secure Socket Tunneling Protocol (SSTP-In)","program files\windows defender advanced threat protection\mssense.exe","avdmmrtst-1"
"2026-03-03","15:48:44","ALLOW","TCP","10.0.1.4","20.190.151.9","49722","443","SEND","0","Unknown","0","Secure Socket Tunneling Protocol (SSTP-In)","windows\system32\lsass.exe","avdmmrtst-1"
"2026-03-03","15:48:44","ALLOW","TCP","10.0.1.4","20.42.65.88","49723","443","SEND","0","Unknown","0","Secure Socket Tunneling Protocol (SSTP-In)","program files\windows defender advanced threat protection\mssense.exe","avdmmrtst-1"
"2026-03-03","15:48:44","ALLOW","TCP","10.0.1.4","20.190.151.9","49724","443","SEND","0",,"0","Secure Socket Tunneling Protocol (SSTP-In)","windows\system32\lsass.exe","avdmmrtst-1"
"2026-03-03","15:48:45","ALLOW","TCP","10.0.1.4","20.242.181.0","49725","443","SEND","0","MsMpEng","3680","Secure Socket Tunneling Protocol (SSTP-In)","programdata\microsoft\windows defender\platform\4.18.26010.5-0\msmpeng.exe","avdmmrtst-1"
"2026-03-03","15:48:45","ALLOW","TCP","10.0.1.4","169.254.169.254","49727","80","SEND","0","Unknown","0","Windows Remote Management - Compatibility Mode (HTTP-In)","windowsazure\guestagent_2.7.41491.1183_2026-02-25_141411\windowsazureguestagent.exe","avdmmrtst-1"
"2026-03-03","15:48:45","ALLOW","TCP","10.0.1.4","20.190.151.9","49726","443","SEND","0","Unknown","0","Secure Socket Tunneling Protocol (SSTP-In)","windows\system32\lsass.exe","avdmmrtst-1"
"2026-03-03","15:48:45","ALLOW","TCP","10.0.1.4","4.255.66.68","49728","443","SEND","0",,"0","Secure Socket Tunneling Protocol (SSTP-In)","windows\system32\taskhostw.exe","avdmmrtst-1"
"2026-03-03","15:48:45","ALLOW","TCP","10.0.1.4","52.179.200.141","49729","443","SEND","0",,"0","Secure Socket Tunneling Protocol (SSTP-In)","program files\microsoft rdinfra\rdmonitoringagent_46.24.3\agent\monagentcore.exe","avdmmrtst-1"
"2026-03-03","15:48:45","ALLOW","TCP","10.0.1.4","20.190.151.9","49730","443","SEND","0","Unknown","0","Secure Socket Tunneling Protocol (SSTP-In)","windows\system32\lsass.exe","avdmmrtst-1"
"2026-03-03","15:48:45","ALLOW","TCP","10.0.1.4","20.190.151.9","49731","443","SEND","0",,"0","Secure Socket Tunneling Protocol (SSTP-In)","windows\system32\lsass.exe","avdmmrtst-1"
"2026-03-03","15:48:45","ALLOW","TCP","10.0.1.4","169.254.169.254","49732","80","SEND","0","Unknown","0","Windows Remote Management - Compatibility Mode (HTTP-In)","windows\system32\windowspowershell\v1.0\powershell.exe","avdmmrtst-1"
"2026-03-03","15:48:45","ALLOW","UDP","10.0.1.4","51.5.255.240","50770","3478","SEND","0","Unknown","0","FilterRTID:76807","program files\microsoft rdinfra\rdagentbootloader_1.0.11388.1600\rdagentbootloader.exe","avdmmrtst-1"
"2026-03-03","15:48:45","ALLOW","UDP","10.0.1.4","51.5.2.42","50770","3478","SEND","0","Unknown","0","FilterRTID:76807","program files\microsoft rdinfra\rdagentbootloader_1.0.11388.1600\rdagentbootloader.exe","avdmmrtst-1"
